b' -3.68  Get AngleZ: 0.72\r\n'
b'Get AngleX: -12.50  Get AngleY: 94.78  Get AngleZ: 38.19\r\n'
b'Get AngleX: -15.27  Get AngleY: 94.94  Get AngleZ: 37.69\r\n'
b'Get AngleX: -15.65  Get AngleY: 94.89  Get AngleZ: 37.68\r\n'
b'Get AngleX: -17.52  Get AngleY: 95.06  Get AngleZ: 38.04\r\n'
b'Get AngleX: -19.28  Get AngleY: 94.96  Get AngleZ: 38.20\r\n'
b'Get AngleX: -19.85  Get AngleY: 94.88  Get AngleZ: 38.12\r\n'
b'Get AngleX: -23.56  Get AngleY: 94.82  Get AngleZ: 37.66\r\n'
b'Get AngleX: -26.81  Get AngleY: 94.51  Get AngleZ: 36.72\r\n'
b'Get AngleX: -29.58  Get AngleY: 93.95  Get AngleZ: 35.80\r\n'
b'Get AngleX: -31.56  Get AngleY: 93.32  Get AngleZ: 35.47\r\n'
b'Get AngleX: -34.22  Get AngleY: 91.64  Get AngleZ: 34.93\r\n'
b'Get AngleX: -36.28  Get AngleY: 90.42  Get AngleZ: 33.28\r\n'
b'Get AngleX: -38.76  Get AngleY: 89.44  Get AngleZ: 32.98\r\n'
b'Get AngleX: -39.96  Get AngleY: 89.44  Get AngleZ: 32.21\r\n'
b'Get AngleX: -42.30  Get AngleY: 89.59  Get AngleZ: 30.68\r\n'
b'Get AngleX: -43.69  Get AngleY: 89.49  Get AngleZ: 29.35\r\n'
b'Get AngleX: -44.00  Get AngleY: 89.24  Get AngleZ: 28.35\r\n'
b'Get AngleX: -44.02  Get AngleY: 89.23  Get AngleZ: 27.85\r\n'
b'Get AngleX: -44.16  Get AngleY: 90.63  Get AngleZ: 24.85\r\n'
b'Get AngleX: -44.46  Get AngleY: 91.63  Get AngleZ: 24.72\r\n'
b'Get AngleX: -44.39  Get AngleY: 91.79  Get AngleZ: 25.28\r\n'
b'Get AngleX: -44.05  Get AngleY: 92.12  Get AngleZ: 25.95\r\n'
b'Get AngleX: -35.37  Get AngleY: 99.02  Get AngleZ: 32.84\r\n'
b'Get AngleX: -31.85  Get AngleY: 101.00  Get AngleZ: 37.39\r\n'
b'Get AngleX: -30.99  Get AngleY: 101.48  Get AngleZ: 38.43\r\n'
b'Get AngleX: -30.46  Get AngleY: 102.19  Get AngleZ: 51.55\r\n'
b'Get AngleX: -9.51  Get AngleY: 117.13  Get AngleZ: 70.91\r\n'
b'Get AngleX: -7.83  Get AngleY: 117.44  Get AngleZ: 72.61\r\n'
b'Get AngleX: -4.89  Get AngleY: 118.07  Get AngleZ: 74.39\r\n'
b'Get AngleX: 14.59  Get AngleY: 120.14  Get AngleZ: 82.65\r\n'
b'Get AngleX: 20.86  Get AngleY: 121.44  Get AngleZ: 83.74\r\n'
b'Get AngleX: 22.70  Get AngleY: 121.03  Get AngleZ: 84.05\r\n'
b'Get AngleX: 24.58  Get AngleY: 120.29  Get AngleZ: 85.96\r\n'
b'Get AngleX: 45.42  Get AngleY: 118.82  Get AngleZ: 86.85\r\n'
b'Get AngleX: 48.33  Get AngleY: 118.51  Get AngleZ: 87.07\r\n'
b'Get AngleX: 55.87  Get AngleY: 117.39  Get AngleZ: 87.80\r\n'
b'Get AngleX: 57.19  Get AngleY: 116.91  Get AngleZ: 87.91\r\n'
b'Get AngleX: 66.34  Get AngleY: 115.59  Get AngleZ: 88.52\r\n'
b'Get AngleX: 69.09  Get AngleY: 115.11  Get AngleZ: 88.63\r\n'
