b'Get AngleX: 22.53  Get AngleY: 83.55  Get AngleZ: -78.39\r\n'
b'Get AngleX: 19.10  Get AngleY: 86.15  Get AngleZ: -77.76\r\n'
b'Get AngleX: 21.32  Get AngleY: 86.23  Get AngleZ: -76.97\r\n'
b'Get AngleX: 24.60  Get AngleY: 85.31  Get AngleZ: -75.30\r\n'
b'Get AngleX: 24.86  Get AngleY: 85.84  Get AngleZ: -74.14\r\n'
b'Get AngleX: 22.63  Get AngleY: 85.01  Get AngleZ: -73.93\r\n'
b'Get AngleX: 23.38  Get AngleY: 84.49  Get AngleZ: -74.07\r\n'
b'Get AngleX: 23.69  Get AngleY: 83.37  Get AngleZ: -75.20\r\n'
b'Get AngleX: 23.78  Get AngleY: 82.84  Get AngleZ: -76.11\r\n'
b'Get AngleX: 24.10  Get AngleY: 82.52  Get AngleZ: -77.14\r\n'
b'Get AngleX: 29.66  Get AngleY: 80.45  Get AngleZ: -77.59\r\n'
b'Get AngleX: 31.92  Get AngleY: 80.90  Get AngleZ: -73.42\r\n'
b'Get AngleX: 32.12  Get AngleY: 80.73  Get AngleZ: -73.16\r\n'
b'Get AngleX: 33.27  Get AngleY: 80.37  Get AngleZ: -72.51\r\n'
b'Get AngleX: 33.38  Get AngleY: 80.59  Get AngleZ: -72.18\r\n'
b'Get AngleX: 33.32  Get AngleY: 80.24  Get AngleZ: -72.21\r\n'
b'Get AngleX: 33.73  Get AngleY: 79.75  Get AngleZ: -71.73\r\n'
b'Get AngleX: 33.60  Get AngleY: 79.12  Get AngleZ: -71.61\r\n'
b'Get AngleX: 28.66  Get AngleY: 81.03  Get AngleZ: -71.67\r\n'
b'Get AngleX: 29.04  Get AngleY: 80.97  Get AngleZ: -71.72\r\n'
b'Get AngleX: 28.87  Get AngleY: 80.91  Get AngleZ: -72.08\r\n'
b'Get AngleX: 28.56  Get AngleY: 79.60  Get AngleZ: -74.18\r\n'
b'Get AngleX: 35.89  Get AngleY: 79.08  Get AngleZ: -71.88\r\n'
b'Get AngleX: 33.85  Get AngleY: 80.13  Get AngleZ: -72.78\r\n'
b'Get AngleX: 34.07  Get AngleY: 79.31  Get AngleZ: -73.47\r\n'
b'Get AngleX: 32.96  Get AngleY: 80.87  Get AngleZ: -74.64\r\n'
b'Get AngleX: 32.62  Get AngleY: 81.52  Get AngleZ: -74.97\r\n'
b'Get AngleX: 32.63  Get AngleY: 81.75  Get AngleZ: -75.25\r\n'
b'Get AngleX: 32.95  Get AngleY: 80.24  Get AngleZ: -75.87\r\n'
b'Get AngleX: 32.78  Get AngleY: 80.78  Get AngleZ: -76.32\r\n'
b'Get AngleX: 31.46  Get AngleY: 80.51  Get AngleZ: -77.37\r\n'
b'Get AngleX: 31.35  Get AngleY: 80.17  Get AngleZ: -77.55\r\n'
b'Get AngleX: 31.00  Get AngleY: 79.82  Get AngleZ: -78.03\r\n'
b'Get AngleX: 29.88  Get AngleY: 78.80  Get AngleZ: -79.19\r\n'
b'Get AngleX: 29.59  Get AngleY: 78.54  Get AngleZ: -79.33\r\n'
b'Get AngleX: 28.44  Get AngleY: 79.29  Get AngleZ: -80.34\r\n'
b'Get AngleX: 32.03  Get AngleY: 78.87  Get AngleZ: -79.41\r\n'
b'Get AngleX: 31.70  Get AngleY: 79.97  Get AngleZ: -76.94\r\n'
b'Get AngleX: 32.07  Get AngleY: 80.28  Get AngleZ: -76.38\r\n'
b'Get AngleX: 32.08  Get AngleY: 80.50  Get AngleZ: -75.56\r\n'
b'Get AngleX: 32.26  Get AngleY: 80.49  Get AngleZ: -75.16\r\n'
b'Get AngleX: 32.24  Get AngleY: 80.21  Get AngleZ: -74.60\r\n'
b'Get AngleX: 31.78  Get AngleY: 80.89  Get AngleZ: -75.28\r\n'
b'Get AngleX: 30.47  Get AngleY: 80.02  Get AngleZ: -76.66\r\n'
b'Get AngleX: 34.17  Get AngleY: 79.12  Get AngleZ: -77.34\r\n'
